trees,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
1000,3,0.1,rsq,standard,0.5128830062436448,5,0.010067867325767236,pre0_mod52_post0
1000,4,0.001,rmse,standard,11.71070240466682,5,0.11177617340083716,pre0_mod53_post0
1000,4,0.001,rsq,standard,0.49554818097471165,5,0.008707425617483937,pre0_mod53_post0
1000,4,0.004641588833612777,rmse,standard,10.393337327674153,5,0.14947406781705183,pre0_mod54_post0
1000,4,0.004641588833612777,rsq,standard,0.5377533824831655,5,0.009279780813873328,pre0_mod54_post0
1000,4,0.021544346900318832,rmse,standard,10.407916202366698,5,0.1518388518766316,pre0_mod55_post0
1000,4,0.021544346900318832,rsq,standard,0.5364858146918162,5,0.009315781831549068,pre0_mod55_post0
1000,4,0.1,rmse,standard,10.986017615269487,5,0.15825634305376915,pre0_mod56_post0
1000,4,0.1,rsq,standard,0.4954063602910682,5,0.009931387951087917,pre0_mod56_post0
1000,6,0.001,rmse,standard,11.357559797615007,5,0.13329811308359968,pre0_mod57_post0
1000,6,0.001,rsq,standard,0.5215651868108508,5,0.012427638186079278,pre0_mod57_post0
1000,6,0.004641588833612777,rmse,standard,10.32852881291635,5,0.18400930217402908,pre0_mod58_post0
1000,6,0.004641588833612777,rsq,standard,0.5429778654210671,5,0.01225982140877592,pre0_mod58_post0
1000,6,0.021544346900318832,rmse,standard,10.623226534084269,5,0.17798172543096888,pre0_mod59_post0
1000,6,0.021544346900318832,rsq,standard,0.5205075340072061,5,0.011162283163584412,pre0_mod59_post0
1000,6,0.1,rmse,standard,11.213267247525177,5,0.1574421111122392,pre0_mod60_post0
1000,6,0.1,rsq,standard,0.4803829800453547,5,0.00961948900659192,pre0_mod60_post0
1000,8,0.001,rmse,standard,11.229495954181504,5,0.15130519131755615,pre0_mod61_post0
1000,8,0.001,rsq,standard,0.5274976958389402,5,0.015483357094939322,pre0_mod61_post0
1000,8,0.004641588833612777,rmse,standard,10.384429462174372,5,0.20369401956806873,pre0_mod62_post0
1000,8,0.004641588833612777,rsq,standard,0.538140619936297,5,0.014081263245741216,pre0_mod62_post0
1000,8,0.021544346900318832,rmse,standard,10.81327431086404,5,0.1780578670948475,pre0_mod63_post0
1000,8,0.021544346900318832,rsq,standard,0.5065655769152565,5,0.011565776957381257,pre0_mod63_post0
1000,8,0.1,rmse,standard,11.146595029463784,5,0.1792000198056446,pre0_mod64_post0
1000,8,0.1,rsq,standard,0.4841700898607663,5,0.011002607553031505,pre0_mod64_post0
